S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1845,203,MANOJ NIRBHAY SINGH PATEL,Bharatiya Janata Party,94989,588,95577,43.14
1846,203,VISHAL JAGDISH PATEL,Indian National Congress,81097,782,81879,36.96
1847,203,SOHAN DEVISINGH SOLANKI,Bahujan Mukti Party,1235,7,1242,0.56
1848,203,INTEKHAB ALAM URF MALIK KHAN (SIR),Independent,207,0,207,0.09
1849,203,ILYAS ALI,Independent,111,0,111,0.05
1850,203,CHETAN BAIRAGI,Independent,278,2,280,0.13
1851,203,JAGDISH URF LAKHAN PACHARANGIYA,Independent,768,7,775,0.35
1852,203,PANKAJ NEGI,Independent,123,4,127,0.06
1853,203,MANOJ PATEL,Independent,408,5,413,0.19
1854,203,RAJENDRA VIKRAMSINGH CHOUDHARY,Independent,37741,179,37920,17.12
1855,203,RAHUL,Independent,586,0,586,0.26
1856,203,VIJAY PARMAR,Independent,454,0,454,0.2
1857,203,NOTA,None of the Above,1145,6,1151,0.52
1858,72,AMARNATH-PATEL URAF-W-BHIYA,Bahujan Samaj Party,30114,137,30251,19.46
1859,72,GIRISH GAUTAM,Bharatiya Janata Party,63385,337,63722,40.99
1860,72,"DILEEP SINGH ""GUDU BHAIYA""",Aam Aadmi Party,1749,7,1756,1.13
1861,72,PADMESH GAUTAM,Indian National Congress,38767,569,39336,25.3
1862,72,ASHA TIWARI,Bhartiya Shakti Chetna Party,672,0,672,0.43
1863,72,POOJA PATEL,Peoples Party of India (Democratic),209,4,213,0.14
1864,72,BANS ROOP KATHEL,Bhagidari Party(P),187,0,187,0.12
1865,72,RAHUL DEO SAKET,Bahujan Mukti Party,196,1,197,0.13
1866,72,SATEESH TIWARI URAF SATEESH BHAIYA,Vindhya Janta Party,328,1,329,0.21
1867,72,SEEMA JAIVEER SINGH SENGAR,Samajwadi Party,14100,52,14152,9.1
1868,72,KALPANA RAWAT,Independent,472,6,478,0.31
1869,72,CHOTTE LAL SINGH GODE(TEKAM) KADDI,Independent,425,1,426,0.27
1870,72,MAHESH PRASAD KORI,Independent,526,1,527,0.34
1871,72,RAJ KUMAR PATEL,Independent,423,1,424,0.27
1872,72,ADV. RAMYAGYA SONDHIYA,Independent,1607,6,1613,1.04
1873,72,NOTA,None of the Above,1172,4,1176,0.76
1874,38,"BRIJBIHARI PATERIYA""GUDDA BHAIYA""",Bharatiya Janata Party,94529,403,94932,55.17
1875,38,HARSH YADAV,Indian National Congress,67111,598,67709,39.35
1876,38,ARVINDRA DIXIT,Bhartiya Shakti Chetna Party,1709,0,1709,0.99
1877,38,KAMTA PRASAD,Aazad Samaj Party (Kanshi Ram),509,0,509,0.3
1878,38,RAJAT DIWAN,Gondvana Gantantra Party,3135,8,3143,1.83
1879,38,ADVOCATE DEVENDRA SINGH LODHI RASHTRIY KRANTI SENA,Independent,257,0,257,0.15
1880,38,PRAHLAD SINGH (GARHA WALE),Independent,454,3,457,0.27
1881,38,BALCHAND,Independent,415,1,416,0.24
1882,38,MUKESH RAJAK,Independent,486,1,487,0.28
1883,38,RANU LODHI,Independent,806,0,806,0.47
1884,38,NOTA,None of the Above,1633,9,1642,0.95
1885,22,Dr. NAROTTAM MiSHRA,Bharatiya Janata Party,80492,743,81235,45.96
1886,22,BHARTI RAJENDRA,Indian National Congress,87648,1329,88977,50.34
1887,22,LOKENDRA NETAJI,Bahujan Samaj Party,1150,6,1156,0.65
1888,22,USHA AHiRWAR,Samatamoolak Samaj Party,122,2,124,0.07
1889,22,AAZAD DESHRAJ PABYA,Aazad Samaj Party (Kanshi Ram),489,1,490,0.28
1890,22,KAPTAN SINGH PARMAR,Independent,90,1,91,0.05
1891,22,C L BAUDH CHHOTE LAL,Independent,81,0,81,0.05
1892,22,PANDIT MAHESH CHAND SHASTRI,Independent,88,1,89,0.05
1893,22,RAJNI LiTORiYA,Independent,129,1,130,0.07
1894,22,RAVI DANGI,Independent,97,2,99,0.06
1895,22,RAJU KHAN,Independent,117,1,118,0.07
1896,22,RAMNARESH DANGI,Independent,205,0,205,0.12
1897,22,RAMSINGH SENGAR,Independent,185,1,186,0.11
1898,22,SHISHIR KHARE,Independent,271,1,272,0.15
1899,22,R SiNGH,Independent,748,0,748,0.42
1900,22,HARDAS KUSHWAH,Independent,1306,0,1306,0.74
1901,22,NOTA,None of the Above,1443,9,1452,0.82
1902,55,AJAY KUMAR TANDON,Indian National Congress,59821,1106,60927,32.44
1903,55,CHAHAT PANDEY,Aam Aadmi Party,2275,17,2292,1.22
1904,55,JAYANT MALAIYA,Bharatiya Janata Party,111449,829,112278,59.79
1905,55,PRATAP ROHIT (AHIRWAR),Bahujan Samaj Party,3146,32,3178,1.69
1906,55,DOLAT SINGH LODHI,Bhartiya Shakti Chetna Party,2482,11,2493,1.33
1907,55,DRAGPAL SINGH LODHI,Samajwadi Party,904,6,910,0.48
1908,55,NARENDRA /AACHARYA POORAN SINGH LODHI,Pichhara Samaj Party United,86,1,87,0.05
1909,55,NAVEEN BOUDH,Aazad Samaj Party (Kanshi Ram),674,2,676,0.36
1910,55,AJAY BHAIYA,Independent,139,1,140,0.07
1911,55,AJAY KUMAR,Independent,120,9,129,0.07
1912,55,JAYANT,Independent,124,0,124,0.07
1913,55,JAYANT KUMAR,Independent,158,1,159,0.08
1914,55,JAYANT BHAIYA,Independent,306,0,306,0.16
1915,55,"""NISHANT PATHAK NIKKI BHAIYA""",Independent,811,1,812,0.43
1916,55,RAHUL,Independent,427,0,427,0.23
1917,55,RAHUL BHAIYA,Independent,858,0,858,0.46
1918,55,RAHUL BHAIYA,Independent,659,1,660,0.35
