S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1919,55,"RICHA PURSHOTTAM CHOUBEY ""HARI OM""",Independent,173,1,174,0.09
1920,55,SHAHRUKH KHAN MANSOORI (NETAJI),Independent,643,0,643,0.34
1921,55,NOTA,None of the Above,517,11,528,0.28
1922,19,IMARTI DEVI,Bharatiya Janata Party,82092,358,82450,46.79
1923,19,SMT SATYAPRAKASHI PARSEDIYA,Bahujan Samaj Party,4392,45,4437,2.52
1924,19,SURESH RAJE,Indian National Congress,83917,800,84717,48.08
1925,19,PAWAN KUMAR RAI,Rashtriya Rakshak Morcha,941,1,942,0.53
1926,19,Dr. Bharat Warsi,Jan Adhikar Party,143,1,144,0.08
1927,19,ROOPESH KAIN,Aazad Samaj Party (Kanshi Ram),625,8,633,0.36
1928,19,ANiL Agraiya,Independent,147,0,147,0.08
1929,19,NAVAL KISHOR MOURYA,Independent,167,0,167,0.09
1930,19,RAMVARAN SAGAR,Independent,157,0,157,0.09
1931,19,LEELADHAR,Independent,219,0,219,0.12
1932,19,VIKASH SAGAR,Independent,322,0,322,0.18
1933,19,SANJAY AGARIYA,Independent,301,0,301,0.17
1934,19,NOTA,None of the Above,1555,9,1564,0.89
1935,76,AJAY ARJUN SINGH,Indian National Congress,96457,1060,97517,51.66
1936,76,"Anendra Govind Mishra ""Rajan""",Aam Aadmi Party,8121,79,8200,4.34
1937,76,BABLU VISHWAKARMA,Bahujan Samaj Party,1855,11,1866,0.99
1938,76,SHARADENDU TIWARI,Bharatiya Janata Party,69333,407,69740,36.95
1939,76,ARUN KUMAR BHAI SAHAB,Vindhya Janta Party,1082,5,1087,0.58
1940,76,ANAND PANDEY,Communist Party of India,718,2,720,0.38
1941,76,"BHUPENDRA DWIVEDI ""RAIDUARIA KALA""",Sapaks Party,220,1,221,0.12
1942,76,"AD. RAGHAVENDRA ""MOOLNIWASI""",Peoples Party of India (Democratic),1026,13,1039,0.55
1943,76,RAJENDRA PRASAD PATEL ADVOCATE,Samajwadi Party,418,1,419,0.22
1944,76,ROHIT KUMAR PATEL,Bhartiya Shakti Chetna Party,628,6,634,0.34
1945,76,ARJUN PRASAD SONDHIYA,Independent,158,0,158,0.08
1946,76,ANURAG SINGH,Independent,402,1,403,0.21
1947,76,DASHRATH PRASAD BAIS,Independent,1307,0,1307,0.69
1948,76,PRADEEP SINGH GOND,Independent,488,0,488,0.26
1949,76,RAGHUNANDAN SINGH,Independent,521,0,521,0.28
1950,76,SUNIL SONI 'NIRDALI',Independent,2724,0,2724,1.44
1951,76,GYANENDRA PRASAD DWIVEDI,Independent,1290,1,1291,0.68
1952,76,NOTA,None of the Above,413,1,414,0.22
1953,124,LAKHAN KUMAR VARMA,Bharatiya Janata Party,72691,333,73024,37.9
1954,124,CHOUDHARY SUJEET MERSINGH,Indian National Congress,80825,788,81613,42.36
1955,124,ISHWAR SINGH TEKAM,Gondvana Gantantra Party,1801,10,1811,0.94
1956,124,KAPIL SONI,Rashtriya Gondvana Party,282,0,282,0.15
1957,124,LODHI VIPIN VERMA,Samajwadi Party,278,1,279,0.14
1958,124,GOPAL SINGH DEHRIYA,Independent,345,0,345,0.18
1959,124,NEERAJ THAKUR (BUNTY PATEL),Independent,19597,84,19681,10.22
1960,124,PAWANSHA SARYAM,Independent,10700,51,10751,5.58
1961,124,MASOOD AHMAD,Independent,381,2,383,0.2
1962,124,RAVI,Independent,387,0,387,0.2
1963,124,LAVKESH DEHRIYA,Independent,311,1,312,0.16
1964,124,LAXMINARAYAN JAGANNATH SINGH LODHI,Independent,609,2,611,0.32
1965,124,VIKRAM,Independent,1110,1,1111,0.58
1966,124,NOTA,None of the Above,2069,3,2072,1.08
1967,79,MAHADEV SINGH,Aam Aadmi Party,6223,7,6230,3.46
1968,79,MANIK SINGH,Indian National Congress,45101,430,45531,25.25
1969,79,RADHA RAVINDRA SINGH,Bharatiya Janata Party,105297,113,105410,58.46
1970,79,CHHOTELAL SINGH PAIGAM,Bhartiya Shakti Chetna Party,3326,1,3327,1.85
1971,79,NAWAL SINGH,Rashtriya Gondvana Party,994,1,995,0.55
1972,79,SHAILENDRA HORIL SINGH,Gondvana Gantantra Party,7800,13,7813,4.33
1973,79,SEEMA PANIKA MOOLNIWASI,Peoples Party of India (Democratic),917,2,919,0.51
1974,79,SHUBHLAL BAIGA,Saman Aadmi Saman Party,1262,2,1264,0.7
1975,79,SHRAWAN KUMAR SINGH,Samajwadi Party,2266,0,2266,1.26
1976,79,NAVABI DEVI,Independent,1580,0,1580,0.88
1977,79,SURYA PRATAP SINGH,Independent,1514,1,1515,0.84
1978,79,NOTA,None of the Above,3462,1,3463,1.92
1979,61,NEELANSHU,Indian National Congress,50393,946,51339,32.99
1980,61,"SUBHASH SHARMA ""DOLI""",Bahujan Samaj Party,31560,237,31797,20.43
1981,61,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,57649,360,58009,37.27
1982,61,Er. Ashok KUMAR SHUKLA,Vindhya Janta Party,811,1,812,0.52
1983,61,KODU LAL BHARTI,Bahujan Dravida Party,585,0,585,0.38
1984,61,BHAIYAMAN PRAJAPATI BALKHADIYA,Peoples Party of India (Democratic),224,1,225,0.14
1985,61,YOGESH GAUTAM URF GURU GORAKH NATH,Satyanishth Jan Sewak Party,316,1,317,0.2
1986,61,Raja Ram Singh gond,All India Forward Bloc,405,1,406,0.26
1987,61,SARITA JAY PRAKASH KUSHWAHA,Jan Adhikar Party,613,4,617,0.4
1988,61,SANJAY SINGH,Samajwadi Party,6315,32,6347,4.08
1989,61,Sanjeev Shikdar,Nyaydharmsabha,222,1,223,0.14
1990,61,AWADH BIHARI MISHRA,Independent,351,1,352,0.23
1991,61,KRISHNA KISHOR GAUTAM,Independent,366,1,367,0.24
1992,61,BABULAL CHAUDHARY,Independent,1062,1,1063,0.68
1993,61,RAJ KUMAR URF GOLU YADAV,Independent,688,0,688,0.44
1994,61,RAMLAL KORI,Independent,1330,0,1330,0.85
1995,61,NOTA,None of the Above,1152,2,1154,0.74
1996,126,KAMAL NATH,Indian National Congress,129829,2473,132302,56.44
1997,126,THAKUR TRIVIKRAM HIRPACHI,Bahujan Samaj Party,1875,22,1897,0.81
1998,126,VIVEK BUNTY SAHU,Bharatiya Janata Party,94820,888,95708,40.83
1999,126,RAJESH TANTRIK (KUSHWAHA),Ahinsa Samaj Party,865,2,867,0.37
2000,126,AJAY NAGWANSHI,Independent,129,1,130,0.06
2001,126,MOHD. PARVEZ QURESHI,Independent,81,0,81,0.03
2002,126,PRAMILA VERMA,Independent,156,1,157,0.07
2003,126,MUKESH KAKODIYA,Independent,194,4,198,0.08
2004,126,MOHAN BHARTEEY,Independent,388,2,390,0.17
2005,126,SUBHASH SHUKLA,Independent,615,2,617,0.26
2006,126,HARSHA BANODE,Independent,337,2,339,0.14
2007,126,NOTA,None of the Above,1737,4,1741,0.74
2008,51,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress,69961,759,70720,41.31
2009,51,DEELMANI SINGH URF BABBU RAJA,Bahujan Samaj Party,14128,56,14184,8.29
2010,51,BHAGEERATH PATEL URF BHAGGU BHAIYA,Aam Aadmi Party,2311,10,2321,1.36
2011,51,LALITA YADAV,Bharatiya Janata Party,77371,316,77687,45.38
2012,51,AHIRWAR PREM CHANDRA,Jan Adhikar Party,1461,3,1464,0.86
2013,51,BENI PRASAD CHANSAURIYA,Samajwadi Party,882,12,894,0.52
2014,51,AD. RAJA PRAJAPATI,Sapaks Party,138,0,138,0.08
2015,51,RAMCHARAN (CHARAN) AHIRWAR,Aazad Samaj Party (Kanshi Ram),404,1,405,0.24
2016,51,DWIVEDI JAWAHARLAL,Independent,204,0,204,0.12
2017,51,AHIRWAR DEEPAK,Independent,364,0,364,0.21
2018,51,AGRAWAL MANOJ KUMAR,Independent,258,1,259,0.15
2019,51,NAWAB KHAN,Independent,345,1,346,0.2
2020,51,LALTA YADAV,Independent,424,0,424,0.25
2021,51,HARISHCHANDRA 'RAJ',Independent,437,0,437,0.26
2022,51,NOTA,None of the Above,1344,6,1350,0.79
2023,49,AHIRWAR DILEEP,Bharatiya Janata Party,69536,132,69668,43.14
2024,49,D. D. AHIRWAR (DEENDAYAL),Bahujan Samaj Party,7080,44,7124,4.41
2025,49,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,53403,774,54177,33.55
2026,49,AHIRWAR PUSHPENDRA KUMAR,Samajwadi Party,24916,61,24977,15.47
2027,49,YOGESH PRAJAPATI,Jan Adhikar Party,591,0,591,0.37
2028,49,Raja Bhaiya Prajapati,Rashtravadi Bharat Party,690,8,698,0.43
2029,49,Anuragi Laklhan Lal,Lok Janshakti Party(Ram Vilas),648,1,649,0.4
2030,49,PREMCHAND VERMA,Independent,781,2,783,0.48
2031,49,AAHIRWAR RAMDEEN,Independent,692,0,692,0.43
2032,49,NOTA,None of the Above,2133,2,2135,1.32
2033,33,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress,62647,649,63296,39.8
2034,33,JAGANNATH SINGH RAGHUWANSHI,Bharatiya Janata Party,84730,334,85064,53.49
2035,33,Adv. VIRENDRA SINGH YADAV,Bahujan Samaj Party,5576,22,5598,3.52
2036,33,RANVEER SINGH ADIWASI,Aazad Samaj Party (Kanshi Ram),1521,4,1525,0.96
2037,33,GAMBHIR AHIRBAR,Independent,131,0,131,0.08
2038,33,GOLU YADAV,Independent,80,0,80,0.05
2039,33,BHANU,Independent,149,0,149,0.09
2040,33,MOHAMMAD JAVED ANSARI (JAPANI),Independent,248,1,249,0.16
2041,33,RAMESH CHAND,Independent,296,0,296,0.19
2042,33,RAJPAL YADAV,Independent,198,0,198,0.12
2043,33,RAMBEER SINGH YADAV,Independent,391,2,393,0.25
2044,33,SOHAN LAL AHIRBAR,Independent,587,1,588,0.37
2045,33,NOTA,None of the Above,1440,12,1452,0.91
2046,30,PRIYANKA PENCHI,Bharatiya Janata Party,109801,453,110254,56.47
2047,30,MAMTA MEENA,Aam Aadmi Party,27259,146,27405,14.04
2048,30,RAJENDRA ViNOD SHARMA,Bahujan Samaj Party,759,4,763,0.39
2049,30,LAKSHMAN SINGH,Indian National Congress,48122,562,48684,24.93
2050,30,PRABHuLAL BHEEL,Bahujan Mukti Party,966,1,967,0.5
2051,30,LAXMINARAYAN (GOLU),Aazad Samaj Party (Kanshi Ram),992,1,993,0.51
2052,30,KAPIL AHIRWAR,Independent,389,1,390,0.2
2053,30,PRIYANKA,Independent,573,3,576,0.3
2054,30,Badɤilal,Independent,477,1,478,0.24
2055,30,MAMTA MEENA,Independent,960,4,964,0.49
2056,30,LAKSHMAN SINGH,Independent,594,3,597,0.31
2057,30,HAR BAI,Independent,926,1,927,0.47
2058,30,NOTA,None of the Above,2248,1,2249,1.15
2059,8,KAMLESH JATAV,Bharatiya Janata Party,57165,581,57746,39.79
2060,8,DEVENDRA RAMNARAYAN SAKHWAR,Indian National Congress,79274,1099,80373,55.38
2061,8,RAMBARAN SAKHAWAR,Bahujan Samaj Party,4146,33,4179,2.88
2062,8,ANITA CHOUDHARY,Samajwadi Party,204,18,222,0.15
2063,8,DHARMENDRA SINGH JATAV,Samata Samadhan Party,81,2,83,0.06
2064,8,DHIR SINGH,Bharatiya Majdoor Janta Party,107,2,109,0.08
2065,8,SURENDRA SINGH SAKHAWAR,Samatamoolak Samaj Party,96,0,96,0.07
2066,8,SOMESH AZAD SAKHAWAR,Aazad Samaj Party (Kanshi Ram),492,3,495,0.34
2067,8,AHIBARAN SINGH SAKHWAR,Independent,93,3,96,0.07
2068,8,DHARMENDRA GOUR,Independent,90,2,92,0.06
2069,8,MUNESH,Independent,102,0,102,0.07
2070,8,VIKASH KIRAR,Independent,272,0,272,0.19
2071,8,VINOD KUMAR,Independent,383,1,384,0.26
2072,8,NOTA,None of the Above,871,13,884,0.61
2073,112,AJAB SHASTRI,Bahujan Samaj Party,7834,90,7924,4.5
2074,112,PRADEEP AMRATLAL JAISWAL (GUDDA),Bharatiya Janata Party,78259,335,78594,44.65
2075,112,VIVEK VICKY PATEL,Indian National Congress,78213,1384,79597,45.22
2076,112,DILENDRA PAGHARE,Bhartiya Shakti Chetna Party,992,3,995,0.57
2077,112,RUPESH KUMAR NAGOTE,Peoples Party of India (Democratic),200,2,202,0.11
2078,112,ER. HIRALAL BHAGAT,Bahujan Mukti Party,156,3,159,0.09
2079,112,CHUNNI BHAU DHUWARE (KALAR),Independent,226,3,229,0.13
2080,112,DEEPAK PINCHA,Independent,191,2,193,0.11
2081,112,MANOJ MEHARBAN [KALAR],Independent,266,1,267,0.15
2082,112,MANOJ LILHARE,Independent,5669,22,5691,3.23
2083,112,Dr. RAMLAL MASRAM,Independent,1195,4,1199,0.68
2084,112,NOTA,None of the Above,949,11,960,0.55
2085,92,NEERAJ DADA,Indian National Congress,73307,357,73664,39.83
2086,92,SANJAY SATYENDRA PATHAK,Bharatiya Janata Party,97638,372,98010,52.99
2087,92,RASHMI SHARDA PRASAD SHRIVASTAVA,Adarshwaadi Congress Party,1062,1,1063,0.57
2088,92,RAM MILAN VISHWAKARMA,Samajwadi Party,1532,6,1538,0.83
2089,92,RAMLALA SINGH YADAV,Pichhara Samaj Party United,207,0,207,0.11
2090,92,LAIQUE AHMAD QURESHI,Gondvana Gantantra Party,3180,12,3192,1.73
2091,92,SHIV NARAYAN SONI,Janata Dal (United),176,1,177,0.1
2092,92,HARKESH KUMAR CHOUDHARY PATRAKAAR,Bahujan Mukti Party,224,5,229,0.12
2093,92,RISHI KUMAR,Independent,438,4,442,0.24
2094,92,NARENDRA KUMAR,Independent,247,0,247,0.13
2095,92,NEERAJ SINGH BAGHEL,Independent,370,4,374,0.2
2096,92,RAJKUMAR,Independent,588,1,589,0.32
2097,92,RAM BHUWAN TRIPATHI,Independent,1816,1,1817,0.98
2098,92,NOTA,None of the Above,3395,3,3398,1.84
2099,2,DHARA SINGH KUSHWAH,Bahujan Samaj Party,34209,137,34346,16.58
2100,2,BABOO LAL MEWRA,Bharatiya Janata Party,51266,321,51587,24.91
2101,2,RAMNIWAS RAWAT,Indian National Congress,68818,828,69646,33.63
2102,2,RAMNIWASH KUSHWAH,Public Political Party,1083,1,1084,0.52
2103,2,DEEPAK KHATIK,Independent,242,0,242,0.12
2104,2,DURJAN JATAV,Independent,595,0,595,0.29
2105,2,BABU LAL,Independent,821,0,821,0.4
2106,2,MUKESH MALHOTRA AD.,Independent,44043,85,44128,21.31
2107,2,RAMPAL ADIWASI,Independent,932,0,932,0.45
2108,2,RAMROOP SINGH,Independent,430,2,432,0.21
2109,2,LAKHAN SINGH,Independent,709,0,709,0.34
2110,2,SULTAN,Independent,685,0,685,0.33
2111,2,NOTA,None of the Above,1892,3,1895,0.92
2112,144,DWARKA PRASAD DHAKAD (Advocate),Bahujan Samaj Party,1148,22,1170,0.66
2113,144,MUKESH TANDAN,Bharatiya Janata Party,98460,786,99246,56.31
2114,144,SHASHANK SHRI KRISHAN BHARGAVA,Indian National Congress,70788,1648,72436,41.1
2115,144,SANJAY PRABHAKAR,Rashtriya Pratibha Party,663,1,664,0.38
2116,144,KANCHHEDI-LAL,Independent,113,1,114,0.06
2117,144,DILEEP KUSHWAH,Independent,106,1,107,0.06
2118,144,MOKAM SINGH PANTHI,Independent,115,1,116,0.07
2119,144,RAM DAYAL KORI,Independent,269,2,271,0.15
2120,144,SATYENDRA SINGH SISODIYA,Independent,405,0,405,0.23
2121,144,SANJAY SAINI,Independent,396,2,398,0.23
2122,144,NOTA,None of the Above,1288,35,1323,0.75
2123,216,ANIL JAIN KALUHEDA,Bharatiya Janata Party,92876,659,93535,57.71
2124,216,ABDUL RAJJAK LALA,Bahujan Samaj Party,571,7,578,0.36
2125,216,SMT. MAYA RAJESH TRIVEDI,Indian National Congress,65309,713,66022,40.74
2126,216,HAJI MUSHTAK AHMED,Independent,398,2,400,0.25
2127,216,MOHAMMAD RAFIQUE,Independent,204,1,205,0.13
2128,216,SURESH PRAJAPAT,Independent,133,4,137,0.08
2129,216,NOTA,None of the Above,1175,19,1194,0.74
2130,217,CHETAN PREMNARAYAN YADAV,Indian National Congress,81467,1291,82758,45.04
2131,217,PRAKASH NARVARIYA,Bahujan Samaj Party,1394,25,1419,0.77
2132,217,DR. MOHAN YADAV,Bharatiya Janata Party,94753,946,95699,52.08
2133,217,KULDEEP SINGH RATHOD,Vastavik Bharat Party,549,5,554,0.3
2134,217,NILESH TIWARI,Independent,171,2,173,0.09
2135,217,PREM SINGH,Independent,351,4,355,0.19
2136,217,RAHUL CHOUHAN,Independent,142,0,142,0.08
2137,217,VIRENDRA SINGH ATAL,Independent,289,3,292,0.16
2138,217,SANDEEP PATEL,Independent,246,2,248,0.13
2139,217,NOTA,None of the Above,2067,31,2098,1.14
2140,140,KADHORI LAL AHIRAWAR,Bahujan Samaj Party,1795,5,1800,0.84
2141,140,DEVENDRA SINGH PATEL,Indian National Congress,80272,1184,81456,37.8
2142,140,NARENDRA SHIVAJI PATEL,Bharatiya Janata Party,123499,780,124279,57.67
2143,140,BABULAL CHOUDHRI PHALBAN,Aazad Samaj Party (Kanshi Ram),3115,5,3120,1.45
2144,140,VINOD SINGH,Jai Prakash Janata Dal,666,6,672,0.31
2145,140,NARENDRA SINGH PATEL,Independent,1218,3,1221,0.57
2146,140,MAHENDRA KUMAR DHAKAD,Independent,908,0,908,0.42
2147,140,NOTA,None of the Above,2023,9,2032,0.94
2148,134,ABHIJEET SHAH (ANKIT BABA),Indian National Congress,75924,630,76554,47.41
2149,134,"SANJAY SHAH ""MAKDAI""",Bharatiya Janata Party,75219,385,75604,46.82
2150,134,NANDKISHOR BETHE,Gondvana Gantantra Party,1155,4,1159,0.72
2151,134,Bhaulal Uikey,Gana Suraksha Party,441,3,444,0.27
2152,134,JAY KUMAR UIKEY,Independent,755,2,757,0.47
2153,134,RAMESH MASKOLE,Independent,3501,61,3562,2.21
2154,134,LAKSHMAN DHURVEY,Independent,837,0,837,0.52
2155,134,NOTA,None of the Above,2547,14,2561,1.59
2156,43,YADVENDRA SINGH (JAGGU BHAIYA),Indian National Congress,82364,1033,83397,46.87
2157,43,RAKESH GIRI,Bharatiya Janata Party,73986,293,74279,41.75
2158,43,SEETARAM LODHI,Bahujan Samaj Party,1881,13,1894,1.06
2159,43,ABHISHEK JAIN,Indian Peoples Adhikar Party,218,1,219,0.12
2160,43,ANAND KUSHAWAHA,Jan Adhikar Party,1034,0,1034,0.58
2161,43,KAVITA SINGH PARIHAR,Aam Bhartiya Party,123,1,124,0.07
2162,43,RAKESH YADAV,Aazad Samaj Party (Kanshi Ram),320,0,320,0.18
2163,43,RAMBAGAS LODHI,Bharatiya Sabhyata Party,106,0,106,0.06
2164,43,SANJAY YADAV (SHEELU),Samajwadi Party,1272,8,1280,0.72
2165,43,K.K. SHRIVASTAVA,Independent,8535,137,8672,4.87
2166,43,GHANSHYAM AHIRWAR,Independent,224,0,224,0.13
2167,43,GHANSHYAM LODHI,Independent,243,0,243,0.14
2168,43,DEEPCHAND PRAJAPATI,Independent,407,0,407,0.23
2169,43,BABULAL YADAV,Independent,553,0,553,0.31
2170,43,MEENA DEVI KUMHAR,Independent,602,0,602,0.34
2171,43,RAJU RAIKWAR,Independent,1191,0,1191,0.67
2172,43,RAMCHARAN AHIRWAR,Independent,849,0,849,0.48
2173,43,VIJAY KUMAR,Independent,574,0,574,0.32
2174,43,SUKA AHIRWAR,Independent,105,0,105,0.06
2175,43,SURENDRA JAIN,Independent,99,0,99,0.06
2176,43,SANJAY KUMAR AHIRWAR,Independent,1054,1,1055,0.59
2177,43,HARIRAM CHADHAAR,Independent,229,0,229,0.13
2178,43,NOTA,None of the Above,456,10,466,0.26
2179,194,ELIYAS BHai MACHAR,Bahujan Samaj Party,2395,1,2396,1.04
2180,194,KALSINGH BHABAR,Bharatiya Janata Party,103352,505,103857,44.87
2181,194,VEERSINGH BHURIYA,Indian National Congress,104349,848,105197,45.45
2182,194,TOLSINGH BHURIYA,Janata Dal (United),3098,5,3103,1.34
2183,194,MANISH BhAI MUNIYA CHAPANER,Bhartiya Tribal Party,547,1,548,0.24
2184,194,MAJU DAMOR,Bharat Adivasi Party,9171,44,9215,3.98
2185,194,UDAYSINGH MASSAR,Independent,764,3,767,0.33
2186,194,TANSINGH MAIDA,Independent,1643,10,1653,0.71
2187,194,BABU DAMOR,Independent,1623,1,1624,0.7
2188,194,NOTA,None of the Above,3104,4,3108,1.34
2189,70,DEVENDRA SINGH,Bahujan Samaj Party,24267,126,24393,16.37
2190,70,MAHARSHI SINGH,Aam Aadmi Party,661,5,666,0.45
2191,70,RAMA SHANKAR SINGH,Indian National Congress,55673,663,56336,37.8
2192,70,SIDDHARTH TIWARI 'RAJ',Bharatiya Janata Party,60554,528,61082,40.99
2193,70,COMMANDO ARUN GAUTAM (EX-ARMY),Vindhya Janta Party,1781,10,1791,1.2
2194,70,KAMALDHARI KUSHWAHA,Bhartiya Shakti Chetna Party,324,2,326,0.22
2195,70,TRINETRA SHUKLA,Samajwadi Party,551,0,551,0.37
2196,70,RAMLAL KOL,Jan Adhikar Party,172,0,172,0.12
2197,70,SANGEETA KOL,Peoples Party of India (Democratic),209,4,213,0.14
2198,70,ENGINEER PUSHPRAJ PAL,Independent,608,1,609,0.41
2199,70,RAMKALI,Independent,651,2,653,0.44
2200,70,SHIROMAN KUSHWAHA,Independent,636,0,636,0.43
2201,70,HARI SHANKER,Independent,449,0,449,0.3
2202,70,NOTA,None of the Above,1147,1,1148,0.77
2203,120,RAMA ASHOK BHAI KUSHWAHA,Bahujan Samaj Party,1540,3,1543,0.95
2204,120,"VISHWANATH SINGH ""MULAM BHAIYA""",Bharatiya Janata Party,83584,332,83916,51.61
2205,120,"SANJAY SHARMA ""SANJU BHAIYA''",Indian National Congress,70854,715,71569,44.02
2206,120,KISHOR BHANU SHAH (BABUJI),Independent,1377,4,1381,0.85
2207,120,PRAMOD THAKUR,Independent,1484,2,1486,0.91
2208,120,"VISHVANATH SINGH "" MUNNA BHAIYA""'",Independent,1311,1,1312,0.81
2209,120,NOTA,None of the Above,1381,8,1389,0.85
2210,214,JAGDISH CHOUHAN,Bahujan Samaj Party,1737,1,1738,1.13
2211,214,TARACHAND GOYAL,Bharatiya Janata Party,73081,555,73636,47.83
2212,214,MAHESH PARMAR,Indian National Congress,75030,789,75819,49.25
2213,214,MAHESH PARMAR,Independent,1256,3,1259,0.82
2214,214,RAMCHANDRA RATHOR,Independent,587,1,588,0.38
2215,214,NOTA,None of the Above,910,3,913,0.59
2216,226,Dung Hardeepsingh,Bharatiya Janata Party,123504,791,124295,53.06
2217,226,Balwant Singh Gurjar,Bahujan Samaj Party,1688,10,1698,0.72
2218,226,RAKESH PATIDAR,Indian National Congress,100352,1274,101626,43.38
2219,226,PRINCE SURYAWANSHI,Aazad Samaj Party (Kanshi Ram),2798,7,2805,1.2
2220,226,Govrdhan Lal HADA,Independent,269,2,271,0.12
2221,226,Naharu,Independent,199,15,214,0.09
2222,226,FIROJUDDIN,Independent,241,2,243,0.1
2223,226,Rakesh,Independent,810,7,817,0.35
2224,226,Shaheed Khan,Independent,465,3,468,0.2
2225,226,NOTA,None of the Above,1835,3,1838,0.78
2226,165,NAVEEN MISHRA,Bahujan Samaj Party,2825,13,2838,1.4
2227,165,"BHAIRON SINGH "" BAPU """,Indian National Congress,96617,967,97584,48.27
2228,165,"VIKRAM SINGH RANA ""GUDDU BHAIYA""",Bharatiya Janata Party,84511,428,84939,42.02
2229,165,JITU PATIDAR,Independent,12535,97,12632,6.25
2230,165,MOHSIN - BHANEJ,Independent,341,1,342,0.17
2231,165,RAMESHWAR MANDLOI,Independent,912,3,915,0.45
2232,165,VIKRAM SINGH ( RANA ),Independent,694,3,697,0.34
2233,165,SANTOSH JOSHI,Independent,881,5,886,0.44
2234,165,NOTA,None of the Above,1315,6,1321,0.65
2235,37,ANITA SATNAM DANGI,Bahujan Samaj Party,1202,5,1207,0.7
2236,37,GOVIND SINGH RAJPUT,Bharatiya Janata Party,83172,379,83551,48.73
2237,37,NEERAJ SHARMA,Indian National Congress,80917,456,81373,47.46
2238,37,TULSIRAM PAL (HINNOD),Bhartiya Shakti Chetna Party,1454,0,1454,0.85
2239,37,Raghunath Patel,Jan Adhikar Party,223,0,223,0.13
2240,37,ASHISH SEN,Independent,118,0,118,0.07
2241,37,JAKIR ALI,Independent,106,0,106,0.06
2242,37,NEERAJ SHARMA,Independent,141,2,143,0.08
2243,37,Er. YOGESH SINGH KUSHWAHA,Independent,521,3,524,0.31
2244,37,VINOD KURMI,Independent,349,0,349,0.2
2245,37,SHISHUPAL SINGH,Independent,573,1,574,0.33
2246,37,SAIFUDDIN,Independent,753,2,755,0.44
2247,37,NOTA,None of the Above,1077,2,1079,0.63
2248,5,AJAB SINGH KUSHWAH,Indian National Congress,54754,535,55289,29.7
2249,5,AIDAL SINGH KANSANA,Bharatiya Janata Party,72134,374,72508,38.95
2250,5,KULDEEP SINGH SIKARWAR,Bahujan Samaj Party,56197,303,56500,30.35
2251,5,Smt MAMTA KUSHWAH,Aazad Samaj Party (Kanshi Ram),623,1,624,0.34
2252,5,SIYARAM,Independent,87,1,88,0.05
2253,5,SUSHEL KUMAR KUSHWAH,Independent,82,0,82,0.04
2254,5,HOTAM SINGH PARMAR,Independent,232,0,232,0.12
2255,5,SHRINIWAS,Independent,252,2,254,0.14
2256,5,NOTA,None of the Above,557,5,562,0.3
2257,170,BABULAL CHOUHAN,Bahujan Samaj Party,1907,7,1914,0.95
2258,170,Dr. RAJESH SONKAR,Bharatiya Janata Party,108168,701,108869,54.21
2259,170,SAJJAN SINGH VERMA,Indian National Congress,82563,869,83432,41.54
2260,170,KAILASH KALESHRIA,Aazad Samaj Party (Kanshi Ram),3391,10,3401,1.69
2261,170,DARIYAV SINGH MALVIYA,Independent,383,2,385,0.19
2262,170,PARHLADSINGH,Independent,185,0,185,0.09
2263,170,RAKESH SONKAR,Independent,228,5,233,0.12
2264,170,RAJENDER VERMA,Independent,442,6,448,0.22
2265,170,RAJESH SONKAR,Independent,705,3,708,0.35
2266,170,NOTA,None of the Above,1256,6,1262,0.63
2267,138,PUSHPRAJ SINGH,Indian National Congress,100924,693,101617,48.05
2268,138,VIJAYPAL SINGH,Bharatiya Janata Party,102894,485,103379,48.89
2269,138,HARISINGH KALME,Mahakaushal Rashtriya Party,1598,7,1605,0.76
2270,138,UMESH KUMAR MITTAL,Independent,900,9,909,0.43
2271,138,RAMESHWAR AHIRWAR,Independent,436,5,441,0.21
2272,138,LAXMAN SINGH GOUR,Independent,1149,3,1152,0.54
2273,138,NOTA,None of the Above,2355,7,2362,1.12
2274,147,ISEM SINGH MORYE,Aam Aadmi Party,1797,2,1799,1.01
2275,147,UMAKANT SHARMA,Bharatiya Janata Party,97709,286,97995,54.83
2276,147,GAGNENDRA SINGH RAGHUWANSHI,Indian National Congress,69935,378,70313,39.34
2277,147,TOSHMANI PANTHI (KANNA),Bahujan Samaj Party,1415,9,1424,0.8
2278,147,AKHILESH JAIN (MURARIA),Sapaks Party,171,2,173,0.1
2279,147,ASLAM GOURI,Samajwadi Party,489,0,489,0.27
2280,147,KAPTAN SINGH,National World Leader Party,330,0,330,0.18
2281,147,GABBAR SINGH AHIRWAR,Aazad Samaj Party (Kanshi Ram),2233,1,2234,1.25
2282,147,POORAN SINGH AHIRWAR,Independent,184,0,184,0.1
2283,147,PHOOL SINGH,Independent,249,0,249,0.14
2284,147,MANOJ KUSHWAH,Independent,395,0,395,0.22
2285,147,LAXMINARAYAN KUSHWAH,Independent,360,0,360,0.2
2286,147,SANDEEP AHIRWAR,Independent,802,0,802,0.45
