Constituency,Constituency NO,Winning Candidate,Party,Total Votes,Margin,Round
Ghoradongri,132,GANGA SAJJAN SINGH UIKEY,Bharatiya Janata Party,103710,4213,18
Gohad ,13,Keshav Desai,Indian National Congress,69941,607,20
Gotegaon,118,MAHENDRA NAGESH,Bharatiya Janata Party,91737,47788,19
Govindpura,154,KRISHNA GAUR,Bharatiya Janata Party,173159,106668,20
Guna ,29,PANNA LAL SHAKYA,Bharatiya Janata Party,114801,66454,19
Gunnaor,59,RAJESH KUMAR VERMA,Bharatiya Janata Party,77196,1160,20
Gurh,75,NAGENDRA SINGH,Bharatiya Janata Party,68715,2493,19
Gwalior,15,PRADHUMAN SiNGH TOMAR,Bharatiya Janata Party,104775,19140,15
Gwalior East ,16,DR SATISH SIKARWAR,Indian National Congress,100301,15353,16
Gwalior Rural,14,SAHAB SINGH GURJAR,Indian National Congress,79841,3282,13
Gwalior South,17,NARAYAN SiNGH KUSHWAH,Bharatiya Janata Party,82317,2536,18
Harda,135,DR. RAMKISHORE DOGNE,Indian National Congress,94553,870,20
Harsud,176,KUNWAR VIJAY SHAH,Bharatiya Janata Party,116580,59996,19
Hatpipliya,172,MANOJ NARAYANSINGH CHOUDHARI,Bharatiya Janata Party,89842,4142,19
Hatta,57,Smt Umadevi Lalchand Khatik,Bharatiya Janata Party,106546,57021,22
Hoshangabad,137,DR. SITA SARAN SHARMA,Bharatiya Janata Party,73161,15506,18
Huzur,155,RAMESHWAR SHARMA,Bharatiya Janata Party,177755,97910,18
Ichhawar,158,KARAN SINGH VERMA,Bharatiya Janata Party,103205,16346,20
Indore-1,204,KAILASH VIJAYVARGIYA,Bharatiya Janata Party,158123,57939,20
Indore-2,205,RAMESH MENDOLA,Bharatiya Janata Party,169071,107047,15
Indore-3,206,GOLU SHUKLA RAKESH,Bharatiya Janata Party,73541,14757,15
Indore-4,207,MALINI LAXMANSINGH GAUR,Bharatiya Janata Party,118870,69837,16
Indore-5,208,MAHENDRA HARDIA,Bharatiya Janata Party,144733,15671,19
Jabalpur Cantt.,99,ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party,76966,30045,16
Jabalpur Paschim,100,RAKESH SINGH,Bharatiya Janata Party,96268,30134,17
Jabalpur Purba,97,LAKHAN GHANGHORIA,Indian National Congress,95673,27741,17
Jabalpur Uttar,98,ABHILASH PANDEY,Bharatiya Janata Party,88419,22655,18
Jabera ,56,DHARMENDRA BHAV SINGH LODHI,Bharatiya Janata Party,72249,15883,23
Jaisinghnagar,84,MANISHA SINGH,Bharatiya Janata Party,114967,37951,22
Jaitpur,85,JAISINGH MARAVI,Bharatiya Janata Party,107698,31705,23
Jaora,222,"RAJENDRA PANDEY ""RAJU BHAIYA""",Bharatiya Janata Party,92019,26021,20
Jatara,44,KHATIK HARISHANKAR,Bharatiya Janata Party,75943,11216,19
Jaura,4,PANKAJ UPADHYAY,Indian National Congress,89253,30281,22
Jawad,230,OMPRAKASH SAKHLECHA,Bharatiya Janata Party,60458,2364,16
Jhabua,193,DR. VIKRANT BHURIA,Indian National Congress,103151,15693,26
Jobat,192,SENA - MAHESH PATEL,Indian National Congress,80784,38757,19
Junnardeo,122,SUNIL UIKEY,Indian National Congress,83377,3210,20
Kalapipal,169,GHANSHYAM CHANDRAVANSHI,Bharatiya Janata Party,98216,11765,19
Karera,23,KHATIK RAMESH PRASAD,Bharatiya Janata Party,99304,3103,20
Kasrawad,184,SACHIN SUBHASHCHANDRA YADAV,Indian National Congress,102761,5672,19
Katangi,113,GAURAV SINGH PARDHI,Bharatiya Janata Party,85950,21931,19
Keolari,116,RAJNEESH HARVANSH SINGH,Indian National Congress,122814,33760,17
Khandwa,177,KANCHAN MUKESH TANVE,Bharatiya Janata Party,109067,38049,19
Khargapur,47,CHANDA-SURENDRA SINGH GOUR,Indian National Congress,83739,8117,21
Khargone,185,BALKRISHN PATIDAR,Bharatiya Janata Party,101683,13765,19
Khategaon,173,AASHISH GOVIND SHARMA,Bharatiya Janata Party,98629,12542,21
Khilchipur,163,HAJARILAL DANGI,Bharatiya Janata Party,105694,13678,21
Khurai ,36,BHOOPENDRA SINGH,Bharatiya Janata Party,106436,47325,19
Kolaras ,27,MAHENDRA RAMSINGH YADAV KHATORA,Bharatiya Janata Party,108685,50973,19
